item_name,Alias,Category,Shelf Life
Exotic Pineapple Pastry,Pineapple Pastry,Desserts,4 Days
Floral Affair Valentines Box,Floral Affair Valentines Box,Valenitne Menu,4 Days
Floral Cupcake Bouquet,Floral Cupcake Valentines Bouquet,Seasonal,5 Days
Floral Cupcake Valentines Bouquet,Floral Cupcake Valentines Bouquet,Valenitne Menu,4 Days
Flower Candle,Flower Candle,Addons,90 Days
French Hearts (100 Gm),French Hearts (100 Gm),Snacks,30 Days
Fresh Fruit Cake (1 Kg),Fresh Fruit Eggless Cake (1 Kg),Cakes,2 Days
Fresh Fruit Cake (500 Gm),Fresh Fruit Eggless Cake (500 Gms),Cakes,2 Days
Fresh Fruit Cake & Red Rose,Fresh Fruit Eggless Cake (500 Gms),Cakes,2 Days
Fresh Fruit Cake & Teddy,Fresh Fruit Eggless Cake (500 Gms),Cakes,2 Days
Fresh Fruit Eggless Cake (1 Kg),Fresh Fruit Eggless Cake (1 Kg),Cakes,2 Days
Fresh Fruit Eggless Cake (500 Gms),Fresh Fruit Eggless Cake (500 Gms),Cakes,2 Days
Fresh Strawberry Cream Cake (500 Gm),Fresh Strawberry Cream Cake (500 Gm),Cakes,3 Days
Fresh Strawberry Cream Pastry,Fresh Strawberry Cream Pastry,Desserts,3 Days
Fruit Bunt Cake (500 Gm),Fruit Bunt Cake (500 Gm),Christmas,3 Days
German Black Forest Pastry,German Black Forest Pastry,Desserts,3 Days
Ginger Bread Cookies [4 Pcs],Christmas Theme Ginger Cookies [4 Pcs],Christmas,7 Days
Girl Power Bento Cake (300 Gm),Girl Power Bento Cake (300 Gm),Seasonal,5 Days
Gluten Free Banana Tea Cake,Breakup Banana Bread,Desserts,3 Days
Grissini Sticks (110 Gm),Grissini Sticks (110 Gm),Snacks,30 Days
Happy Anniversary Banner,Happy Anniversary Banner,Addons,90 Days
Happy Birthday Banner,Happy Birthday Banner,Addons,90 Days
Happy New Year Bento Cake (300 Gm),Happy New Year Bento Cake (300 Gm),Christmas,5 Days
Hazelnut Eclairs,Hazelnut Eclairs,Desserts,2 Days
Hazelnut Rocher Cake (500 Gm),Hazelnut Rocher Cake 0.5 Kg,Cakes,4 Days
Hazelnut Rocher Cake 0.5 Kg,Hazelnut Rocher Cake 0.5 Kg,Cakes,4 Days
Heart Shape Red Velvet Bento Cake (300 Gm),Heart Shape Red Velvet Bento Cake (300 Gm),Valenitne Menu,3 Days
Heart Shaped Red Velvet Bento Cake (300 Gm),Heart Shaped Red Velvet Bento Cake (300 Gm),Valenitne Menu,3 Days
Hello 2026 Bento Cake (300 Gm),Hello 2026 Bento Cake (300 Gm),Christmas,5 Days
Intense Belgian Chocolate Cake (500 Gm),Intense Belgian Chocolate Cake (500 Gm),Cakes,5 Days
Intense Belgian Chocolate Tub,Intense Belgian Chocolate Tub,Desserts,3 Days
Italian Seasoning Lavash (110 Gm),Italian Seasoning Lavash (110 Gm),Snacks,30 Days
Jim Jam Cheesecake Tub,Jim Jam Cheesecake Tub,Desserts,3 Days
Kitkat Cheesecake Slice,Kitkat Cheesecake Slice,Cheesecakes,4 Days
Kitkat Pastry,Kitkat Pastry,Desserts,3 Days
Kunafa Dream Cake (500 Gm),Kunafa Dream Cake (500 Gm),Cakes,4 Days
Lotus Biscoff Baked Cheesecake (1 Kg),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,4 Days
Lotus Biscoff Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,4 Days
Lotus Biscoff Baked Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Lotus Biscoff Baked Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Lotus Biscoff Baked Cheesecake Slice,Eggless Cheesecake Slice,Cheesecakes,5 Days
Lotus Biscoff Baked Eggless Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Lotus Biscoff Cheesecake (1 Kg),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,5 Days
Lotus Biscoff Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Magic Candle,Magic Candle,Addons,90 Days
Malai Kulfi Tres Leches,Malai Kulfi Tres Leches,Desserts,3 Days
Mango Tres Leches,Mango Tres Leches,Desserts,3 Days
Matilda Cake (500 Gm),Matilda Cake (500 Gm),Cakes,5 Days
Matilda Cake Slice,Matilda Cake Slice,Desserts,3 Days
Merry Christmas Bento Cake (300 Gm),Merry Christmas Bento Cake (300 Gm),Christmas,3 Days
Mince Fruit Tart,Mince Fruit Tart,Christmas,3 Days
Mom's Secret Message Bento Cake (300 Gm),Mom's Secret Message Bento Cake (300 Gm),Seasonal,3 Days
Mom's Slice Bento Cake (300 Gm),Mom's Slice Bento Cake (300 Gm),Seasonal,3 Days
Mother's Day Special Butterscotch Cake (500 Gm),Butterscotch Eggless Cake (500 Gms),Cakes,3 Days
Mother's Day Special Chocolate Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Mother's Day Special Floral Cake (500 Gm),Mother's Day Special Floral Cake (500 Gm),Seasonal,3 Days
Mother's Day Special Mango Mousse Milk Cake (500 Gm),Mother's Day Special Mango Mousse Milk Cake (500 Gm),Seasonal,3 Days
Mother's Day Special Pineapple Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,3 Days
My Mom Best Bento Cake (300 Gm),My Mom Best Bento Cake (300 Gm),Seasonal,3 Days
New York Baked Cheesecake (1 Kg),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,5 Days
New York Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
New York Baked Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,4 Days
New York Baked Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
New York Baked Cheesecake Slice,Eggless Cheesecake Slice,Cheesecakes,5 Days
New York Baked Eggless Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Number Candle,Number Candle,Addons,90 Days
Nutella & Vanilla Mini Berliner,Nutella & Vanilla Mini Berliner,Desserts,3 Days
Nutella Baked Cheesecake (1 Kg),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,5 Days
Nutella Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Nutella Baked Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Nutella Baked Cheesecake Slice,Eggless Cheesecake Slice,Cheesecakes,5 Days
Nutella Baked Eggless Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,4 Days
Nutella Bomb Cookie,Nutella Bomb Cookie,Cookies,15 Days
Nutella Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
NY Special Butterscotch Cake (500 Gm),Butterscotch Eggless Cake (500 Gms),Cakes,3 Days
NY Special Butterscotch Cake (500 Gm),Butterscotch Eggless Cake (500 Gms),Cakes,3 Days
NY Special Chocolate Truffle Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
NY Special Chocolate Truffle Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
NY Special Pineapple Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,4 Days
NYC OG Chunk Cookie,NYC OG Chunk Cookie,Cookies,15 Days
Orange & Chocolate Stollen (300 Gm),Orange & Chocolate Stollen (300 Gm),Christmas,3 Days
Orange & Chocolate Stollen Bread (300 Gm),Orange & Chocolate Stollen (300 Gm),Christmas,3 Days
Overload Brownie,Overload Brownie,Desserts,10 Days
Overload Brownie [1 Pc],Overload Brownie,Desserts,10 Days
Party Popper,Party Popper,Addons,90 Days
Party Popper-set Of 2,Party Popper-set Of 2,Addons,90 Days
Pineapple Cake (1 Kg),Pineapple Eggless Cake (1 Kg),Cakes,4 Days
Pineapple Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,4 Days
